Group,How long have you been using AI for software engineering?,How often do you use AI for software engineering on an average week?,"I believe that AI is a tool to enhance my learning experience, rather than just a means to finish assignments",I can ask for more resources based on the recommendations by AI for my learning,I can judge if an image/video essay generated by AI is correct for my learning,"I can judge if resources (e.g., websites, videos) recommended by AI are appropriate for my learning","I can leverage AI to boost my understanding and skills, not merely to complete tasks",I can use AI to check whether my solutions are correct,I can use AI to conduct inquiry-based learning in other disciplines,I can use AI to find relevant information outside the classroom curriculum quickly and efficiently,I can use AI to gain knowledge in a discipline I am unfamiliar with.,I can use AI to generate questions for further learning,I can use AI to get different alternative information to solve real-life problems better.,I can use AI to get feedback to improve my ideas,I can use AI to get ideas to complete my learning tasks,I feel comfortable using AI technology in learning,I feel confident using AI technology in learning,I find it easy to learn AI technology,I know how to categorize data for designing machine learning models,I know how to collect data for designing machine learning models,I know how to create a machine learning application,I know how to evaluate my created machine learning model,I understand that AI technology sometimes generates incorrect output,I understand that AI technology sometimes gives a biased output,Q25 A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,Q25 Intuitive Answer?,Q25 Points,"Q26 If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",Q26 Intuitive Answer?,Q26 Points,"Q27 In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",Q27 Intuitive Answer?,Q27 Points,"Q28 If you’re running a race and you pass the person in second place, what place are you in?",Q28 Intuitive Answer?,Q28 Points,Q29 A farmer had 15 sheep and all but 8 died. How many are left?,Q29 Intuitive Answer?,Q29 Points,Q30 Emily’s father has three daughters. The first two are named April and May. What is the third daughter’s name?,Q30 Intuitive Answer?,Q30 Points,Q31 How many cubic feet of dirt are there in a hole that is 3’ deep x 3’ wide x 3’ long?,Q31 Intuitive Answer?,Q31 Points,Q32 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q32 Points,Q33 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q33 Points,Q34 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q34 Points,Q35 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q35 Points,Q36 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q36 Points,Q37 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q37 Points,Q38 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q38 Points,Q39 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q39 Points,Q40 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q40 Points,Final Scores
Manual,<= 2 years,1-3 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,$0.10 ,TRUE,0,100 minutes,TRUE,0,4 days and a half or 108 hours,FALSE,0,second place,FALSE,1,8,FALSE,1,Emily,FALSE,1,12 cubic feet,FALSE,0,Accept,1,"Do not accept because the program is supposed to check a populated string, so in order for it to pass through the if statement since it uses OR, I think it should be !res.empty(). ",1,Accept,0,Do not accept because since it's just 'i' it's going to assume that it's talking about the variable 'int' instead of the index of the vector,1,Accept,1,Accept,1,"I will say do not accept because I haven't updated my syntax vocabulary BUT, if I'm not wrong, then the question mark and colon means if or else in one statement and I don't follow the logic if that were the case.",1,Accept,0,Do not accept because I don't see a right some variable?,0,9
AI,<= 4 years,1-3 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,5 cents or 0.05,FALSE,1,5 minutes,FALSE,1,47 days,FALSE,1,first place,TRUE,0,8,FALSE,1,june,TRUE,0,"none, it is a hole bro",FALSE,1,Accept,1,Do not accept because it doesn't remove all duplicates ,1,Accept,0,Accept,0, Accept,1,Accept,1,Accept,0,"Do not accept, out of bounds, it is using i < a.size() but then immediately using a[i + 1] which would be out of scope. ",1,Accept,1,11
AI,<= 2 years,4-6 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$1.10 ,FALSE,0,20 minutes,FALSE,0,24,TRUE,0,2nd place,FALSE,1,8 sheep,FALSE,1,Emily,FALSE,1,"0, there is no dirt in the hole",FALSE,1,Accept,1,"Do not accept, it removes the consecutive duplicates and only allows for one copy of the characters, ",2,"Do not accept, the second half is supposed to start after the middle character, so it doesnt work for odd length strings.",2,"Do not accept, jump is increasing by 2 each time instead of 1, it is the wrong implementation",2,It removes elements that are not smaller but then vector res gets filled up with 0's,0,Accept,1,Accept,0,"Do not accept, the code will be out of bounds when given certain input such as 1,3,2 when the middle element is greater than both neighbors, the loop should start at 1 and end before the last index",2,Accept,1,15
Manual,<= 2 years,1-3 times a week,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,0.1,TRUE,0,100 minutes,TRUE,0,24 days,TRUE,0,second,FALSE,1,8,FALSE,1,Emily,FALSE,1,9' long,FALSE,0,Do not accept. Mx is never initialized a value other than 0 so the function returns mx which is 0.,0,I would accept given that I am not able to look up C syntax to verify whether you can check if the statement res+=c is valid syntax.,0,Do no accept because it looks like for the value s.subtsr() is being passed a value but for b s.subtstr() is not being passed a value. This is could be an error unless the library automatically divides the second half of the string without passing a value to the substr() function.,1,"Do not accept. No where in this code are the correct indices (""2"", ""5"", ""9"") being summed. i starts at 0 and then jumps to 2 and then jumps to 4 and then to 6, etc. The correct indices are not being ""jumped"" to.",2,Accept,1,accepts.,1,Do not accept. The b+= (s[j] == '1' ? 1: -1) is checking for strings and ints. It should only check for strings.,1,accept,0,Do not accept because total is equal to the sum of the first element and the last element.,0,9
Manual,<= 1 year,1-3 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,$0.10 ,TRUE,0,5,FALSE,1,47,FALSE,1,Second,FALSE,1,8,FALSE,1,Emily,FALSE,1,0,FALSE,1,"Do not accept. It would be worth considering an edge case where the user may pass a string consisting of lowercase 'u' and 'd'. The intention is correct with the user's input in that case, but the code only considers capital letters.",0,Accept,0,Accept,0,"Do not accept. Jump is supposed to increase by 1 after each iteration, but that does not happen. After the first run, i = 0 + 2, which is 2, yet jump also remains 2 as initialized before the loop. This means that after element a[2] is added, the next i is 2 + 2 which is 4, not 5. Jump would need to be incremented via jump++ at the very end of each iteration.",2,Accept,1,Accept,1,Accept,0,"Do not accept. The very first element is checked against a[-1], which will probably lead to unexpected or weird results. The same goes for the very last element, which checks a[i+1], which is blatantly out of memory bounds.",2,Accept,1,13
AI,<= 2 years,Greater than 10 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,5 cents,FALSE,1,5 minutes,FALSE,1,47 days,FALSE,1,Second place,FALSE,1,8,FALSE,1,Emily,FALSE,1,27,TRUE,0,Accept.,1,Do not accept. The if statement will be false whenever there's a repeat value. So it wouldn't return anything with the 2 consecutive repeated characters that was specified as valid.,2,Do not accept. There's not case for whether the string is empty.,1,Do not accept. `jump` is never updated to a new value.,2,Accept,1,Accept,1,Do not accept. Only works if a string is just 0's and 1's.,1,Do not accept. Doesn't account whether the first and last values.,1,Accept,1,17
Manual,<= 2 years,4-6 times a week,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.05,FALSE,1,5,FALSE,1,47,FALSE,1,2nd,FALSE,1,8,FALSE,1,Emily,FALSE,1,3ft^3,FALSE,0,Accept,1,Accept,0,Do not accept. No logic to handle odd s length. Doesn't work with proper palindrome.,2,Accept,0,Accept,1,Do not accept. Code will add sum of adjacent equal numbers plus one more instance of the number itself.,0,Accept,0,Do not accept. Will throw SEGFAULT if given a vector of length 1 as input,2,Do not accept. `left += a[i];` must execute before the if statement above.,0,12
AI,<= 1 year,4-6 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,$0.05 ,FALSE,1,5 minutes,FALSE,1,47 days,FALSE,1,Second place.,FALSE,1,8,FALSE,1,Emily,FALSE,1,0,FALSE,1,Accept,1,"Do not accept. If you're allowed to have at most 2 consecutive identical characters, the current code will delete all consecutive identical characters. 

aabbb -> ab instead of aabb which should be the correct answer",2,Do not accept. b needs to skip middle characters on odd length strings due to integer division. The way it is now includes it.,2,"Do not accept. 
The code never increases jump, so it sums indices 0, 2, 4, 6, ... instead of 0, 2, 5, 9, 
It needs something like:

i += jump;
jump++;",2,Accept. ,1,Accept. ,1,Accept. ,0,"Do not accept. For loop initializes i = 0 as starting value but when checking a[i-1], it will cause an out of bounds array access. ",2,Accept.,1,19
Manual,<= 1 year,4-6 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,0.1,TRUE,0,100 minutes,TRUE,0,6.92820323,FALSE,0,second place,FALSE,1,8,FALSE,1,Emily,FALSE,1,27,TRUE,0,Accept,1,"Do not accept. This doesnt make sense. 
input: bbat
res = ''
res is empty -> res = 'b'
res.back() == 'b' 
res = 'b'
res.back() != a
res = 'ba'
also res.empty and .back are for vector not string from my understanding. ",1,Do not accept. Immediate feeling is the substring of b should begin at midway through the string. ,1,Do not accept. i is increasing by 2 each time in the code. ,2,Accept. Cannot trace this in my head. ,1,Accept.,1,Accept,0,Accept,0,Do not accept. Should return the index not -1,0,10
Manual,<= 1 year,1-3 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$0.05 ,FALSE,1,5 minutes,FALSE,1,47 days,FALSE,1,2nd place,FALSE,1,8,FALSE,1,Emily,FALSE,1,27 cubic feet,TRUE,0,Accept,1,"Do not accept. Doesn't allow for 2 consecutive letters. If the back letter matches the current, don't add the current, meaning only 1 consecutive will work.",2,Accept,0,Do not accept. Jump doesn't increase. 0 -> 2 -> 4 -> 8 ->...,2,Accept,1,Accept,1,"Do not accept. This doesn't check every 'segment' of the string, it just checks from a variable starting point to the end of the string. Unless I'm understanding the purpose of this program wrong.",,"Do not accept. Loop goes from i = 0 to a.size(), in the loop you use a[i+1], which when i is at its max, will put i+1 out of bounds",2,Accept,1,16
Manual,<= 2 years,1-3 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,$0.05 ,FALSE,1,5 minutes,FALSE,1,47 days,FALSE,1,second place ,FALSE,1,8,FALSE,1,Emily,FALSE,1,0,FALSE,1,Accept,1,Accept ,0,Do not accept because it doesn't count for the odd situation,2,Do not accept jump never increases,2,Accept,1,Accept,1,Accept ,0,Accept,0,Accept,1,15
Manual,<= 2 years,7-10 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$0.10 ,TRUE,0,5 minutes,FALSE,1,47 days,FALSE,1,second,FALSE,1,8,FALSE,1,Emily,FALSE,1,27 cubic feet,TRUE,0,Accept,1,"Do not accept; it automatically says that if 2 chars are the same, to not add the length. Additionally, it cannot differentiate between multiple substrings as it amalgamates all lengths together into one length for all substrings in res.",1,Accept,0,"Do not accept, we should increase jump by 1 each time, not i.",1,"Do not accept - i is current position, st.top is top of stack element. It is still possible that i < st.top to produce a negative value.",0,Accept,1,Accept,0,Accept,0,"Do not accept - left starts at 0, position not synced with number at position (a[i])",0,9
AI,<= 1 year,7-10 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,0.1,TRUE,0,5 minutes,FALSE,1,47 days,FALSE,1,second place,FALSE,1,8,FALSE,1,Emily,FALSE,1,none since the hole is empty,FALSE,1,Accept,1,"Do not accept.

The code only allows 1 consecutive identical character, not at most 2.",2,"Do not accept.

The issue is with odd-length strings—the middle character is included and lengths are different.",2,Accept,0,Accept,1,Accept,1,"Do not accept, unless the input is guaranteed to contain only '0' and '1' if other characters are allowed, it incorrectly treats them as 0s",1,The code accesses out-of-bounds indices,0,Accept,1,15
Manual,Never,Never,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,$0.05 ,FALSE,1,5 minutes,FALSE,1,47 days,FALSE,1,second place,FALSE,1,8,FALSE,1,Emily,FALSE,1,27 cubic feet of dirt,TRUE,0,Accept,1,"Do not accept: This solution would return a string with at most 1 consecutive identical character. Because the condition for appending a new character evaluates if the most recent character is equal to the character that is being appended (res.back() != c), any character that matches the most recently added one will not be appended.",2,Accept,0,Do not accept: int i always jumps by 2 because int jump is never increased,2,"Do not accept: the last line of the for loop should add a[i] to the stack instead of the index. Doing it this way causes every element in res after the first to always be 1, regardless of the actual distance.",0,Accept,1,Do not accept: this implementation would count 1's vs non-1's. Not 1's vs 0's.,1,"Do not accept: when int i==0, the if statement will check if a[0] > a[-1], which will throw an error. Similarly, when i==a.size()-1. the if statement will check if a[a.size()-1] > a[a.size()], which is also out of bounds.",2,Accept,1,16
AI,<= 1 year,1-3 times a week,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,$0.05 ,FALSE,1,"5 minutes
",FALSE,1,47,FALSE,1,Second place,FALSE,1,8,FALSE,1,Emily,FALSE,1,0 cubic feet,FALSE,1,Accept,1,Accept,0,"Do no accept, because it does not handle odd length strings",2,Accept,0,Accept,1,Accept,1,Accept,0,Do not accept since count starts at 0 so a [i-1] is invalid,2,Accept,1,15
AI,<= 1 year,Greater than 10 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$0.05 ,FALSE,1,100,TRUE,0,47,FALSE,1,Second,FALSE,1,8,FALSE,1,June,TRUE,0,3,FALSE,0,Accept,1,Do not accept. It doesn't accept more than one duplicate.,2,Do not accept. It only works on even length strings.,2,Accept,0,Accept,1,Accept,1,Accept,0,Do not accept. Out of bounds when i == 0 with a[i-1].,2,Accept.,1,14
AI,<= 2 years,1-3 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,$1.05 ,FALSE,0,5 minutes,FALSE,1,47 days,FALSE,1,second,FALSE,1,8,FALSE,1,Emily,FALSE,1,none if its a hole,FALSE,1,Accept,1,"Do not accept is as it does not do the task correctly even though the intended task is to return the string, the function removes the consecutive strings",1,Do not accept as it does not work with odd length strings,2,Accept,0,Accept,1,Accept,1,Accept,0,Do not accept because the a[i-1] and a[i+1] will even the boundaries which when returned causes an out of bound access for the 1st and last elements,2,Accept,1,15
AI,<= 1 year,1-3 times a week,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,$0.05 ,FALSE,1,5 minutes,FALSE,1,47,FALSE,1,Second Place,FALSE,1,8,FALSE,1,Emily,FALSE,1,Zero,FALSE,1,Accept,1,"Do not accept, only adds c if it is different from last character, not at most 2",2,"Do not accept, no exception for the middlemost character",2,"Do not accept, jump is not updated. It stays 2.",2,Accept,1,Accept,1,Accept,0,"Do not accept, last in vector compares to non-existent element. undefined.",2,Accept,1,19
